Class,Value,Variable,Class_num,z_score
Anthozoa,42,1num_CS,4,2.414279685
Cubozoa,1,1num_CS,6,-2.270712082
Hydrozoa,55,1num_CS,7,3.899764879
Scyphozoa,12,1num_CS,5,-1.013763072
Leptocardii,1,1num_CS,8,-2.270712082
Ascidiacea,16,1num_CS,9,-0.556690704
Elasmobranchii,10,1num_CS,10,-1.242299255
Reptilia,3,1num_CS,11,-2.042175898
Actinopterygii,137,1num_CS,12,13.26974841
Sagittoidea,3,1num_CS,13,-2.042175898
Crinoidea,2,1num_CS,14,-2.15644399
Holothuroidea,3,1num_CS,15,-2.042175898
Echinoidea,6,1num_CS,16,-1.699371623
Ophiuroidea,27,1num_CS,17,0.700258307
Asteroidea,15,1num_CS,18,-0.670958796
Enoplea,1,1num_CS,19,-2.270712082
Chromadorea,2,1num_CS,20,-2.15644399
Heterotardigrada,1,1num_CS,21,-2.270712082
Ostracoda,3,1num_CS,25,-2.042175898
Malacostraca,99,1num_CS,26,8.927560922
Thecostraca,11,1num_CS,27,-1.128031163
Copepoda,24,1num_CS,28,0.357454031
Insecta,1,1num_CS,24,-2.270712082
Pycnogonida,6,1num_CS,22,-1.699371623
Arachnida,3,1num_CS,23,-2.042175898
Clitellata,4,1num_CS,35,-1.927907807
Polychaeta,110,1num_CS,36,10.18450993
Hoplonemertea,11,1num_CS,38,-1.128031163
Pilidiophora,2,1num_CS,39,-2.15644399
Palaeonemertea,3,1num_CS,37,-2.042175898
Eurotatoria,1,1num_CS,34,-2.270712082
Gastropoda,118,1num_CS,32,11.09865467
Bivalvia,32,1num_CS,33,1.271598766
Polyplacophora,2,1num_CS,31,-2.15644399
Cephalopoda,21,1num_CS,30,0.014649755
Gymnolaemata,8,1num_CS,29,-1.470835439
Homoscleromorpha,1,1num_CS,1,-2.270712082
Calcarea,3,1num_CS,3,-2.042175898
Demospongiae,14,1num_CS,2,-0.785226888
Anthozoa,7197,2num_WoRMS,4,1.291107303
Cubozoa,48,2num_WoRMS,6,-2.208347505
Hydrozoa,3720,2num_WoRMS,7,-0.410893588
Scyphozoa,223,2num_WoRMS,5,-2.122684533
Leptocardii,30,2num_WoRMS,8,-2.217158554
Ascidiacea,2934,2num_WoRMS,9,-0.795642711
Elasmobranchii,1218,2num_WoRMS,10,-1.635629345
Reptilia,93,2num_WoRMS,11,-2.186319884
Actinopterygii,16766,2num_WoRMS,12,5.975158648
Sagittoidea,132,2num_WoRMS,13,-2.167229279
Crinoidea,673,2num_WoRMS,14,-1.902408317
Holothuroidea,1749,2num_WoRMS,15,-1.375703411
Echinoidea,1013,2num_WoRMS,16,-1.735977399
Ophiuroidea,2096,2num_WoRMS,17,-1.205845974
Asteroidea,1911,2num_WoRMS,18,-1.296403974
Enoplea,1673,2num_WoRMS,19,-1.412905616
Chromadorea,4441,2num_WoRMS,20,-0.05796214
Heterotardigrada,204,2num_WoRMS,21,-2.131985084
Ostracoda,5823,2num_WoRMS,25,0.618530592
Malacostraca,32573,2num_WoRMS,26,13.71272784
Thecostraca,1495,2num_WoRMS,27,-1.500037097
Copepoda,10888,2num_WoRMS,28,3.097861772
Insecta,1591,2num_WoRMS,24,-1.453044838
Pycnogonida,1349,2num_WoRMS,22,-1.571504492
Arachnida,1573,2num_WoRMS,23,-1.461855887
Clitellata,965,2num_WoRMS,35,-1.759473529
Polychaeta,12022,2num_WoRMS,36,3.652957835
Hoplonemertea,675,2num_WoRMS,38,-1.901429312
Pilidiophora,478,2num_WoRMS,39,-1.997861344
Palaeonemertea,115,2num_WoRMS,37,-2.175550824
Eurotatoria,142,2num_WoRMS,34,-2.162334252
Gastropoda,37786,2num_WoRMS,32,16.26450542
Bivalvia,8350,2num_WoRMS,33,1.855503918
Polyplacophora,1028,2num_WoRMS,31,-1.728634859
Cephalopoda,823,2num_WoRMS,30,-1.828982912
Gymnolaemata,5623,2num_WoRMS,29,0.520630052
Homoscleromorpha,126,2num_WoRMS,1,-2.170166295
Calcarea,793,2num_WoRMS,3,-1.843667993
Demospongiae,7478,2num_WoRMS,2,1.428657562
Anthozoa,0.719327498,3prop_missing,4,-0.697641674
Cubozoa,0.479166667,3prop_missing,6,-6.26607771
Hydrozoa,0.765322581,3prop_missing,7,0.368813156
Scyphozoa,0.600896861,3prop_missing,5,-3.443607459
Leptocardii,0.633333333,3prop_missing,8,-2.69152636
Ascidiacea,0.892638037,3prop_missing,9,3.320784847
Elasmobranchii,0.354679803,3prop_missing,10,-9.152464867
Reptilia,0.182795699,3prop_missing,11,-13.13781766
Actinopterygii,0.428665156,3prop_missing,12,-7.437019835
Sagittoidea,0.681818182,3prop_missing,13,-1.567343135
Crinoidea,0.751857355,3prop_missing,14,0.05660468
Holothuroidea,0.84105203,3prop_missing,15,2.124697293
Echinoidea,0.735439289,3prop_missing,16,-0.324069176
Ophiuroidea,0.707061069,3prop_missing,17,-0.982054516
Asteroidea,0.751962323,3prop_missing,18,0.059038504
Enoplea,0.96054991,3prop_missing,19,4.895408496
Chromadorea,0.918486827,3prop_missing,20,3.920122116
Heterotardigrada,0.901960784,3prop_missing,21,3.536944672
Ostracoda,0.971664091,3prop_missing,25,5.153104982
Malacostraca,0.818561385,3prop_missing,26,1.603222933
Thecostraca,0.780602007,3prop_missing,27,0.723086192
Copepoda,0.915227774,3prop_missing,28,3.84455679
Insecta,0.740414833,3prop_missing,24,-0.20870482
Pycnogonida,0.828020756,3prop_missing,22,1.822550547
Arachnida,0.936427209,3prop_missing,23,4.336092815
Clitellata,0.787564767,3prop_missing,35,0.884526691
Polychaeta,0.845283647,3prop_missing,36,2.222812744
Hoplonemertea,0.816296296,3prop_missing,38,1.55070395
Pilidiophora,0.824267782,3prop_missing,39,1.735533052
Palaeonemertea,0.713043478,3prop_missing,37,-0.843344699
Eurotatoria,0.823943662,3prop_missing,34,1.728017905
Gastropoda,0.85200868,3prop_missing,32,2.378741254
Bivalvia,0.810898204,3prop_missing,33,1.425542267
Polyplacophora,0.781128405,3prop_missing,31,0.735291402
Cephalopoda,0.465370595,3prop_missing,30,-6.585957268
Gymnolaemata,0.939711898,3prop_missing,29,4.412252517
Homoscleromorpha,0.634920635,3prop_missing,1,-2.654722743
Calcarea,0.775535939,3prop_missing,3,0.605622944
Demospongiae,0.859320674,3prop_missing,2,2.548279176
Anthozoa,225.2645831,4num_bio_missing,4,0.019461431
Cubozoa,171.0342205,4num_bio_missing,6,-1.095125938
Hydrozoa,270.5450398,4num_bio_missing,7,1.142757919
Scyphozoa,285.0570342,4num_bio_missing,5,-0.864119117
Leptocardii,256.5513308,4num_bio_missing,8,-1.081903595
Ascidiacea,256.5513308,4num_bio_missing,9,0.476628988
Elasmobranchii,247.0494297,4num_bio_missing,10,-1.039583288
Reptilia,171.0342205,4num_bio_missing,11,-1.097095924
Actinopterygii,261.734186,4num_bio_missing,12,0.142340843
Sagittoidea,256.5513308,4num_bio_missing,13,-1.026099675
Crinoidea,299.3098859,4num_bio_missing,14,-1.018487644
Holothuroidea,199.539924,4num_bio_missing,15,-0.955854216
Echinoidea,213.7927757,4num_bio_missing,16,-0.937423463
Ophiuroidea,243.8821293,4num_bio_missing,17,-0.367052634
Asteroidea,228.0456274,4num_bio_missing,18,-0.62260196
Enoplea,171.0342205,4num_bio_missing,19,-0.909730174
Chromadorea,641.378327,4num_bio_missing,20,-0.433658899
Heterotardigrada,171.0342205,4num_bio_missing,21,-1.02960412
Ostracoda,342.0684411,4num_bio_missing,25,0.525711773
Malacostraca,243.0486292,4num_bio_missing,26,3.920123344
Thecostraca,264.3256135,4num_bio_missing,27,-0.623774352
Copepoda,296.0207663,4num_bio_missing,28,2.446394598
Insecta,256.5513308,4num_bio_missing,24,-1.068549637
Pycnogonida,256.5513308,4num_bio_missing,22,-0.759509442
Arachnida,213.7927757,4num_bio_missing,23,-0.66529727
Clitellata,320.6891635,4num_bio_missing,35,-0.882378825
Polychaeta,254.1536548,4num_bio_missing,36,5.964476572
Hoplonemertea,279.8741791,4num_bio_missing,38,-0.469472726
Pilidiophora,128.2756654,4num_bio_missing,39,-1.046730682
Palaeonemertea,342.0684411,4num_bio_missing,37,-0.984426581
Eurotatoria,1282.757,4num_bio_missing,34,-0.824650606
Gastropoda,302.419599,4num_bio_missing,32,8.403035726
Bivalvia,247.3887833,4num_bio_missing,33,0.468221584
Polyplacophora,256.5513308,4num_bio_missing,31,-1.01768147
Cephalopoda,248.4068441,4num_bio_missing,30,-0.892317997
Gymnolaemata,277.9306084,4num_bio_missing,29,0.501068399
Homoscleromorpha,342.0684411,4num_bio_missing,1,-1.074881747
Calcarea,285.0570342,4num_bio_missing,3,-0.965702297
Demospongiae,213.7927757,4num_bio_missing,2,-0.256506899
