Type,Name,Trop,NTemp,NPol,STemp,SPol,
species,Spirobranchus polycerus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Ochthebius quadricollis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Alpheus buckupi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Alpheus soror,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Alpheus wonkimi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ampelisca eschrichti,TRUE,TRUE,TRUE,TRUE,TRUE,
species,Hemimysis margalefi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Leptochelia Africana,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Auritoglyptes bicornis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Balanodytes habei,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Savignium dentatum,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Savignium milleporum,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Abudefduf declivifron,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Albula gilberti,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Atherina lagunae,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Dascyllus abudafur,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Ditrema jordani,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Rypticus saponaceous,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Symphurus leucochilus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma hayashi,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pycnoclavella brava,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Pycnoclavella communis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Aetobatus narutobiei,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Actinia ebhayiensis,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Incrustatus niarchosi,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Mussismilia hartii,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Palythoa mizigama,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Hydractinia serrata,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Stylactis carcinicola,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Stylactis serrata,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Cyanea tzetlinii,FALSE,FALSE,TRUE,FALSE,FALSE,
species,Symbion americanus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Cryptasterina hystera,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Echinoderes sensibilis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Atrina assimilis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Atrina exusta,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Calyptogena phaseoliformis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Carditamera bajaensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Thyasira gould,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Xylophaga brava,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Doryteuthis plei,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Alderia willowi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Crepipatella fecunda,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Crepipatella occulta,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Echinolittorina trochoides,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula monolifera,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Melanochlamys lorrainae,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Nassarius festina,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Okenia harastii,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Lepidochitona pseudoliozonis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes erneba,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes lactea,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes macintoshi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes parmula,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes santacruzensis,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Tetrastemma roseocephalum,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Cephalothrix alba,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Cephalothrix simula,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Apionsoma misakianum,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Phascolosoma agassizi,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Themiste pyroides,FALSE,FALSE,FALSE,FALSE,FALSE,
species,Grania occulta,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ophelia bicornis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ophryotrocha batillus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Munida mendagnai,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Platorchestia parapacifica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pomacentrus micronesicus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Pyura doppelgangera,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Tridacna ningaloo,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula hombroni,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gemmula sogodensis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Lophiotoma friedrichbonhoefferi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Lophiotoma panglaoensis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Pseudomicrura afzelii,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Sesarma reticulatum,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Odontamblyopus lacepedii,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma flammeum,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Parvulastra exigua,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Gemmula rarimaculata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Spirastrella mollis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Eucalanus hyalinus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Chthamalus proteus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Albula vulpes,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Trimma tevegae,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bathymodiolus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Sepioteuthis lessoniana,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bathytoma,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Bostrycapulus,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Gemmula cosmoi,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Lophiotoma acuta,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Lophiotoma indica,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Turridrupa bijubata,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Chondrilla nucula,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Scoloplos armiger,TRUE,TRUE,TRUE,TRUE,FALSE,
species,Abyssorchomene,TRUE,TRUE,FALSE,TRUE,TRUE,
species,Tubificoides insularis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tubificoides amplivasatus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tubificoides pseudogaster,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Arenicola defodiens,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Chone magna,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Eumida minuta,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Galeolaria caespitosa,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Hediste japonica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Naineris dendritica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Neoamphitrite robusta,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Neopetitia occulta,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Syllis elongata,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Aquilastacus serratus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Coullana canadensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tigriopus angulatus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Zausodes arenicolus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Callianassa kraussi,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Ciliopagurus vakovako,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Cyathura polita,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Exosphaeroma hylecoetes,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Fungicola fagei,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Gammarus tigrinus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Haploniscus cucullus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Haptosquilla pulchella,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Iphinoe truncata,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Mesopodopsis orientalis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Mesopodopsis slabberi,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Munida clinata,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Panulirus longipes femoristriga,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Paracorophium excavatum,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Petrolisthes edwardsii,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Serolis paradoxa,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Synalpheus rathbunae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Uroptychus naso,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Zeuxo normani,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Chthamalus fissus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Trevathana dentata,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Wanella milleporae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Cupuladria surinamensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Cathorops mapale,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Luciogobius guttatus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Muraenoclinus dorsalis,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Schindleria brevipinguis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Scorpis violaceus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Sebastes aleutianus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes inermis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes oculatus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Sprattus antipodum,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Starksia sluiteri,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma cheni,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma erdmanni,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma fangi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma marinae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma nasa,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Trimma stobbsi,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Tripterygion tripteronotus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pseudodistoma crucigaster,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pycnoclavella aurilucens,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Himantura leoparda,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Squatina argentina,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Alcyonium coralloides,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Anthopleura elegantissima,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Anthopleura orientalis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Heliopora coerulea,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Plexaura kuna,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Aequorea taiwanensis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Diphasia margareta,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Nemertesia belini,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Sertularella ellisii,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Stylactis inermis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Leptasterias hexactis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Xenotrichula intermedia,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Calyptogena pacifica,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Mactra antiquata,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Ostrea lurida,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tridacna noae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Vesicomya gigas,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Octopus insularis,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Crucibulum quiriquinae,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Dendropoma petraeum,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Diloma durvillaea,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Elysia timida,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Elysia timida,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Frigidoalvania brychia,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Gemmuloborsonia moosai,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Glaucus marginatus,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Gorgoleptis emarginatus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Lepetodrilus tevnianus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Littorina sitkana,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Nassarius nitidus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Navanax aenigmaticus,TRUE,FALSE,FALSE,FALSE,FALSE,
species,Notoacmea helmsi,FALSE,FALSE,FALSE,TRUE,FALSE,
species,Nucella emarginata,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Nucella lima,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ocinebrina edwardsii,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Thoracostoma trachygaster,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Ototyphlonemertes duplex,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Tetrastemma vermiculus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Cephalothrix spiralis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Lineus torquatus,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pseudomonocelis agilis,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Pseudomonocelis ophiocephala,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Scopalina lophyropoda,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Thysanocardia nigra,FALSE,TRUE,FALSE,FALSE,FALSE,
species,Alitta virens,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Barantolla americana,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Euclymene zonalis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Eunoe nodosa,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Eunoe oerstedi,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Glycera kerguelensis,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Harmothoe rarispina,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Lepidonopsis humilis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Lepidonotus squamatus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Marenzelleria viridis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Nephtys punctata,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Nereis denhamensis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Notophyllum foliosum,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Ophelia limacina,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Pectinaria granulata,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Pectinaria koreni,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Praxillella praetermissa,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Calanus marshallae,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Eurytemora affinis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Tigriopus californicus,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Alpheus cristulifrons,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Alpheus floridanus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Alpheus nuttingi,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Emerita talpoida,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Eumunida annulosa,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Eusirus giganteus,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Eusirus perdentatus,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Glyptonotus Antarcticus,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Gonodactylellus viridis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Hemigrapsus takanoi,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Iolanthe drygalskii,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Jaera albifrons,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Leucothoe ashleyae,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Leucothoe kensleyi,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Lysmata wurdemanni,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Menippe mercenaria,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Metanephrops thomsoni,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Munida notata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Munida tiresias,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Munidopsis verrucosus,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Mysis relicta,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Neomysis americana,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Neosarmatium meinerti,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Palaemon elegans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Panulirus argus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Paramphithoe hystrix,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Perisesarma guttatum,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phycomenes zostericola,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Spirontocaris spinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Upogebia Africana,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Macroscapha inaequata,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macroscapha opaca,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macroscapha turbida,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Achelia assimilis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Pallenopsis patagonica,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Pollicipes pollicipes,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Alcyonidium gelatinosum,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Cupuladria biporosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Parasagitta setosa,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Acanthemblemaria crockeri,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Acanthochromis polyacanthus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Agonostomus monticola,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Atherina boyeri,FALSE,TRUE,FALSE,FALSE,TRUE,
species,Careproctus rastrinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Clinus superciliosus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Girella nigricans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Gymnoscopelus bolini,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macrodon ancylodon,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Ophthalmolycus amberensis,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Parapercis lutevittata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes marinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Sebastes mentella,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Sebastes miniatus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes mystinus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sillago analis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Starksia atlantica,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Starksia lepicoelia,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Symphurus thermophilus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma benjamini,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Trimma milta,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Trimma taylori,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Pyura stolonifera,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Rhinobatos productus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Rhizoprionodon terraenovae,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sotalia,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Aipysurus mosaicus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Enhydrina schistosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Eunicea flexuosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Montipora digitata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phymactis papillosa,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Plexaura flexuosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Porites evermanni,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Coryne pusilla,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Sertularella fusiformis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sertularia distans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Aurelia labiata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Luidia quinaria,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Tosia australis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phanogenia gracilis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Promachocrinus kerguelensis,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Bohadschia marmorata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Thyonella gemmata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Acrocnida brachiata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Ophioderma longicauda,TRUE,TRUE,FALSE,FALSE,FALSE,
